title,views,video_link,date_time,thumbnail_link
Hoare Partition Quick Sort | Lecture - 20 | GeeksforGeeks,2.6K views,/watch?v=NsY5UI0RZfE,5 months ago,https://i.ytimg.com/vi/NsY5UI0RZfE/hqdefault.jpg
GATE vs Placements🧑‍💻| Which one to choose after graduation? 🤔 | GATE | Engineering | GFG,1K views,/watch?v=N42PuoXkjgA,5 months ago,https://i.ytimg.com/vi/N42PuoXkjgA/hqdefault.jpg
Futuristic Marvel Technologies that will blow your mind | Marvel | Metaverse | GFG,644 views,/watch?v=1C5qpMkfeNw,5 months ago,https://i.ytimg.com/vi/1C5qpMkfeNw/hqdefault.jpg
Learn Lomuto Partition | Lecture - 19 | GeeksforGeeks,1.8K views,/watch?v=xew1z47P6OM,5 months ago,https://i.ytimg.com/vi/xew1z47P6OM/hqdefault.jpg
What is Dynamic Programming? |  Data Structures & Algorithms | GeeksforGeeks,1.1K views,/watch?v=ad6UqyoZ9Hk,5 months ago,https://i.ytimg.com/vi/ad6UqyoZ9Hk/hqdefault.jpg
Top 7 questions asked in Microsoft interviews😎 | Microsoft | Interview Questions | Career Tips | GFG,2.3K views,/watch?v=nZwVi7Affvc,5 months ago,https://i.ytimg.com/vi/nZwVi7Affvc/hqdefault.jpg
Learn Quick Sort (Naive Partition) in 5 Minutes | Sorting Playlist | Lecture -18 | GeeksforGeeks,808 views,/watch?v=kq3d0P6WxBo,5 months ago,https://i.ytimg.com/vi/kq3d0P6WxBo/hqdefault.jpg
Python vs Java | Which one you should choose in 2024? | Python | Java | Machine Learning | GFG,5.6K views,/watch?v=5IS1qwgUtPQ,5 months ago,https://i.ytimg.com/vi/5IS1qwgUtPQ/hqdefault.jpg
Count Inversion in Array | Lecture 17 | GeeksforGeeks,2.3K views,/watch?v=r0iq9vfZ6bA,5 months ago,https://i.ytimg.com/vi/r0iq9vfZ6bA/hqdefault.jpg
Why so many CEOs are from India? | Decoded | Google | Microsoft | Adobe | GFG,1.2K views,/watch?v=TpeDtIwGJeA,5 months ago,https://i.ytimg.com/vi/TpeDtIwGJeA/hqdefault.jpg
