Brand,Model,Mileage,Year,Price
Jeep,Wrangler,6874,2024,41900.0
Mazda,Mazda6,104780,2013,5999.0
Subaru,Outback,52757,2017,15995.0
Toyota,Camry,88862,2012,9995.0
Mercedes-Benz,C-Class,71523,2021,20250.0
Mercedes-Benz,GLS,21753,2021,47995.0
Audi,A5,58409,2021,19490.0
Jeep,Grand Cherokee,83815,2018,15720.0
Ford,F-150,143111,2015,12995.0
Ford,Focus,72500,2016,7900.0
Ford,Expedition,76451,2021,33995.0
Mazda,CX-5,79685,2021,16276.0
Ford,Mustang,67507,2022,15895.0
Land Rover,Range Rover Sport,70623,2015,16995.0
Mazda,CX-5,127542,2016,9495.0
Toyota,Corolla,103792,2010,7600.0
Audi,A6,140739,2014,6495.0
Chevrolet,Malibu,123535,2018,7499.0
Volkswagen,Tiguan,23435,2021,19911.0
Kia,Optima,127734,2019,7999.0
Toyota,RAV4,27572,2021,20888.0
Dodge,Charger,58224,2021,14900.0
MINI,Electric Hardtop,16297,2022,15995.0
Dodge,Durango,59499,2020,22768.0
BMW,X5,87068,2020,25379.0
Tesla,Model 3,15081,2023,21895.0
Toyota,RAV4,57304,2021,21099.0
Ford,Transit Cargo Van,111195,2017,14999.0
Nissan,Altima,74261,2019,13500.0
Nissan,Altima,62636,2016,8865.0
Jeep,Grand Cherokee WK,24785,2021,32744.0
Honda,Accord,56082,2020,16995.0
Ford,Transit Cargo Van,126482,2016,12999.0
Toyota,Camry,61418,2022,17400.0
BMW,X5,44999,2022,36800.0
Mazda,Mazda3,60172,2018,13995.0
Jeep,Wrangler,73179,2018,21995.0
Kia,Soul,117223,2015,4499.0
Hyundai,Tucson,59232,2020,18998.0
Toyota,RAV4,54434,2022,21690.0
Mercedes-Benz,GLE,48015,2021,30400.0
Toyota,Matrix,133763,2008,3999.0
Ford,Fusion,72564,2017,9499.0
Mercedes-Benz,CLA,8164,2023,35900.0
Jeep,Wrangler,26789,2021,29900.0
BMW,5 Series,52853,2021,20805.0
Nissan,Rogue,48190,2021,16995.0
Mazda,Mazda3,74177,2015,11995.0
Ford,Escape,107813,2017,9495.0
Mazda,CX-5,77781,2019,13812.0
Nissan,Rogue,40036,2021,18193.0
Nissan,Versa,94635,2021,9899.0
Jeep,Wrangler,145184,2016,12640.0
BMW,4 Series,12683,2023,42700.0
Chevrolet,Impala Limited,131863,2014,4999.0
Jeep,Compass,13876,2021,19700.0
Volvo,XC70,84395,2016,15695.0
Nissan,Altima,91536,2019,12995.0
McLaren,Artura,374,2023,189995.0
Honda,Civic,40890,2021,15005.0
BMW,X4,30884,2024,31988.0
Toyota,Camry,162190,2009,4995.0
Audi,Q5,47464,2022,23990.0
Ram,ProMaster Cargo Van,76400,2020,17988.0
BMW,2 Series,59304,2021,15319.0
Jeep,Wrangler,25752,2021,30601.0
Volkswagen,Tiguan,51304,2019,16002.0
Jeep,Grand Cherokee WK,43340,2022,20995.0
Ford,F-150,65610,2020,31495.0
Jeep,Cherokee,54464,2019,15995.0
Hyundai,Tucson,39220,2022,18300.0
Honda,Accord,42597,2019,14995.0
Ford,Transit Cargo Van,13273,2022,30831.0
Honda,Pilot,142167,2011,7999.0
Nissan,Altima,80167,2021,13500.0
Honda,Civic,76076,2020,14899.0
Volkswagen,Tiguan,29784,2021,16960.0
Jeep,Wrangler,48645,2021,19495.0
Chrysler,Pacifica,36217,2021,21995.0
Chevrolet,Cruze,105306,2014,5999.0
Toyota,Corolla,23237,2014,11499.0
Tesla,Model Y,64137,2022,22795.0
BMW,5 Series,23395,2021,29995.0
Mercedes-Benz,GLC,42910,2022,24295.0
Mercedes-Benz,C-Class,43000,2021,18900.0
Ford,Transit Cargo Van,20929,2022,30226.0
Jeep,Renegade,11360,2023,21500.0
Honda,Passport,85290,2021,18995.0
Chevrolet,Corvette,87843,2013,23305.0
Audi,Q5,90674,2018,14981.0
Mercedes-Benz,C-Class,45383,2017,20212.0
Ram,1500,70851,2017,21400.0
Nissan,Rogue,29686,2023,17244.0
Subaru,Forester,78870,2015,10995.0
Honda,Accord,46093,2019,15999.0
BMW,X6,36040,2022,59995.0
Audi,Q5,75218,2018,14995.0
Dodge,Charger,65316,2018,14994.0
Audi,A7,62066,2019,25990.0
Honda,Accord,26350,2022,24595.0
Tesla,Model Y,51579,2021,23395.0
BMW,X5,42858,2023,32115.0
Chevrolet,Equinox,32383,2021,16628.0
Jeep,Grand Cherokee,84182,2019,15995.0
Chevrolet,Malibu,65620,2022,11790.0
Tesla,Model Y,51638,2021,22995.0
Chevrolet,Express Cargo Van,103360,2019,14995.0
Honda,Accord,22917,2020,18995.0
BMW,X2,43823,2022,20995.0
BMW,X3,52019,2022,25499.0
Honda,HR-V,101763,2019,12995.0
BMW,3 Series,39636,2021,22995.0
BMW,3 Series,51476,2021,19990.0
Jeep,Cherokee,102147,2015,8499.0
Mercedes-Benz,GLE,48530,2018,42868.0
Hyundai,Accent,59816,2017,8499.0
Honda,Odyssey,149846,2016,9498.0
Dodge,Durango,73984,2020,16988.0
Mazda,Mazda3,53543,2013,8498.0
Jeep,Grand Cherokee,38131,2023,22988.0
Mercedes-Benz,GLE,58089,2020,26795.0
Nissan,Rogue,105653,2018,10995.0
Toyota,RAV4,49279,2021,20962.0
Ford,Explorer,136501,2013,6499.0
Volkswagen,Jetta,3409,2021,16511.0
Chevrolet,Equinox,105662,2020,9326.0
GMC,Terrain,20858,2022,19990.0
Jeep,Grand Cherokee WK,22328,2022,27900.0
Hyundai,Elantra,25493,2024,16495.0
Chevrolet,Silverado 1500,120206,2017,13900.0
Honda,HR-V,20038,2022,18700.0
Land Rover,Defender,21573,2023,83900.0
Acura,MDX,184098,2013,5999.0
Dodge,Charger,62369,2018,13995.0
Audi,Q3,29000,2023,23990.0
Volvo,XC90,26732,2023,37495.0
Volkswagen,Atlas,70204,2021,15999.0
Chevrolet,Malibu,113133,2016,8088.0
Chevrolet,Camaro,111153,2015,9999.0
Nissan,Murano,58048,2019,12806.0
Chevrolet,Trailblazer,29218,2021,18795.0
INFINITI,Q50,27611,2021,22000.0
Jeep,Grand Cherokee,13956,2021,32200.0
Nissan,Sentra,104477,2019,7999.0
Toyota,Highlander,122349,2021,21395.0
Hyundai,Santa Fe,33742,2023,19495.0
BMW,3 Series,83119,2013,11436.0
Chrysler,Pacifica,42833,2021,22995.0
Hyundai,Santa Fe Sport,113028,2017,8999.0
Ford,F-150,51843,2021,45995.0
Chevrolet,Suburban,237365,2015,14888.0
Hyundai,Elantra,109886,2016,6699.0
BMW,3 Series,73657,2021,20182.0
Ferrari,FF,14921,2015,139999.0
Ford,Bronco Sport,97835,2021,16758.0
BMW,4 Series,88788,2016,10995.0
Mercedes-Benz,CLS,35475,2022,49900.0
