Brand,Model,Mileage,Year,Price
Toyota,Highlander,217392,2012,10991.0
Audi,A3,86715,2012,8988.0
Toyota,Mirai,38708,2017,7900.0
Chevrolet,Tahoe,103771,2016,22998.0
BMW,i4,5778,2024,59887.0
Nissan,Altima,72042,2021,17591.0
Ford,F-150,146871,2002,5850.0
Nissan,Ariya,16221,2023,27899.0
Volkswagen,Taos,39072,2023,20300.0
Toyota,Mirai,41076,2021,12495.0
Land Rover,Range Rover Sport,61813,2020,33388.0
Honda,Civic,72100,2016,16998.0
BMW,4 Series,31126,2018,25998.0
Toyota,RAV4,48337,2015,18995.0
Chevrolet,Silverado 1500,108485,2007,17988.0
Jeep,Wrangler,52655,2021,27210.0
Tesla,Model X,66582,2016,27861.0
Toyota,RAV4,85556,2019,20993.0
BMW,X1,17171,2023,32218.0
Ford,Explorer,33185,2021,29473.0
Toyota,Highlander,25104,2024,35300.0
Ford,Explorer,43065,2023,27477.0
Toyota,Camry,45462,2021,21964.0
Volkswagen,Tiguan,35590,2021,16995.0
MINI,Convertible,68566,2011,8999.0
Nissan,Rogue,82483,2021,20999.0
Kia,Forte,45009,2023,15999.0
Chevrolet,Malibu,41238,2020,15188.0
Honda,CR-V,29259,2022,24450.0
Audi,S5,15378,2022,43998.0
GMC,Sierra 1500,12020,2023,32499.0
Nissan,Versa,74979,2016,7975.0
Hyundai,Santa Fe,22844,2023,24998.0
Lexus,RX,33834,2021,35998.0
Honda,Odyssey,47938,2020,29965.0
Tesla,Model 3,53858,2018,22720.0
Toyota,Prius,42897,2023,25998.0
Mazda,CX-9,50025,2019,20197.0
Ford,Mustang Mach-E,19870,2021,26499.0
Jeep,Compass,74321,2018,13694.0
Subaru,Outback,77758,2013,11588.0
Mercedes-Benz,GLB,40154,2021,26588.0
Jeep,Wrangler,80866,2018,17971.0
BMW,5 Series,42668,2022,33385.0
Nissan,Rogue,31376,2021,21998.0
Ram,1500,35181,2023,35950.0
Ram,1500,75413,2021,36900.0
Mercedes-Benz,S-Class,69419,2013,17972.0
Ford,Mustang Mach-E,14640,2021,28474.0
Tesla,Model 3,32476,2019,22998.0
Cadillac,XT4,7470,2023,34895.0
Ford,Edge,39489,2019,17462.0
BMW,X7,58123,2020,49998.0
Honda,Accord,16394,2024,30998.0
Toyota,Corolla,11222,2024,24488.0
Nissan,Kicks,16793,2023,19333.0
Chrysler,Pacifica,69376,2022,18955.0
Honda,Civic,61778,2015,15644.0
Dodge,Challenger,13290,2021,61699.0
Honda,Accord,48788,2022,22991.0
Lexus,ES,231221,2007,5999.0
Nissan,Altima,102517,2016,9740.0
Mercedes-Benz,GLC,48119,2019,23955.0
Ford,C-Max,116613,2016,9995.0
Genesis,GV60,46019,2023,36995.0
Kia,Sportage,62481,2020,16500.0
Nissan,350Z,107345,2004,9500.0
Honda,Odyssey,126484,2014,12995.0
Ford,Explorer,52296,2022,25995.0
Buick,LaCrosse,40984,2017,17377.0
Mazda,Mazda3,24494,2022,20467.0
Nissan,Altima,9755,2023,24894.0
Tesla,Model 3,10007,2019,30998.0
Nissan,Altima,1290,2023,25900.0
Mercedes-Benz,C-Class,12801,2023,35998.0
Volkswagen,Jetta,90488,2019,13674.0
Audi,e-tron,69249,2019,20988.0
Nissan,Titan XD,60161,2017,31985.0
Porsche,911,92206,2002,21650.0
Land Rover,Range Rover Sport,99245,2016,17888.0
BMW,3 Series,75185,2017,15998.0
Toyota,Tacoma,14202,2023,32888.0
Dodge,Charger,51385,2022,20290.0
BMW,i4,3180,2024,60517.0
Chevrolet,Suburban,76877,2019,38799.0
Polestar,2,36562,2021,25999.0
Toyota,Corolla,62090,2022,17999.0
Honda,Passport,26578,2021,26999.0
MINI,Countryman,46565,2020,20681.0
Toyota,Corolla,64940,2022,18404.0
Ford,Mustang Mach-E,20970,2021,28991.0
Chrysler,Pacifica,43849,2022,25998.0
Cadillac,Escalade,26392,2023,72995.0
Mazda,CX-5,53480,2022,23557.0
Honda,CR-V,30079,2024,29491.0
Volkswagen,Taos,42828,2022,16995.0
Ford,Edge,2497,2022,27991.0
Ford,Focus,144220,2017,5955.0
BMW,3 Series,24697,2022,28998.0
Tesla,Model S,102920,2015,14777.0
Nissan,Pathfinder,11,2024,32500.0
Honda,Civic,19529,2023,23998.0
Lexus,LS,132501,2011,15250.0
Hyundai,Santa Fe,32789,2023,23998.0
Hyundai,IONIQ 5,34609,2023,32899.0
Toyota,Avalon,57469,2022,26053.0
Toyota,RAV4,41696,2021,24995.0
Cadillac,Escalade,77420,2021,61999.0
