Brand,Model,Mileage,Year,Price
Chrysler,200,135342,2016,6599
Land Rover,Discovery Sport,77565,2016,10995
Mercedes-Benz,C-Class,9701,2024,43890
INFINITI,Q60,19934,2014,17800
Volkswagen,Jetta,7701,2023,19911
Audi,Q7,51046,2022,32300
BMW,X5,37015,2023,33893
Toyota,Highlander,107254,2019,19885
Ford,F-150,102271,2017,12487
Mercedes-Benz,GLC,68049,2022,24488
Dodge,Durango,101117,2016,13995
Nissan,Rogue,28459,2021,19724
Chevrolet,Equinox,12535,2022,22390
Audi,Q5,49299,2022,23990
Chevrolet,Silverado 2500HD,43400,2015,24995
Toyota,Highlander,71395,2023,30890
Mercedes-Benz,Metris Cargo Van,145309,2016,9985
Hyundai,Elantra,55973,2021,13949
BMW,X4 M,14425,2021,49100
Lexus,GX,60495,2021,32875
Mercedes-Benz,C-Class,23182,2022,26900
Mercedes-Benz,GLS,61801,2020,35217
Subaru,Forester,117005,2014,7999
Toyota,Corolla,75775,2021,14446
Jeep,Grand Cherokee WK,61551,2021,19490
BMW,X3,29472,2022,30682
BMW,X5,66120,2022,30849
INFINITI,QX60,112973,2014,8995
Buick,Encore,27306,2022,17240
Hyundai,Elantra,128038,2013,5995
Ford,Explorer,17207,2021,27998
Nissan,Altima,96598,2015,6995
Acura,MDX,19597,2022,40400
BMW,3 Series,62882,2016,13095
Rolls-Royce,Cullinan,3890,2022,299995
Volvo,XC70,154040,2010,5495
Ram,ProMaster Cargo Van,30657,2021,27000
Tesla,Model Y,41919,2021,23995
Dodge,Charger,67389,2022,23900
Jeep,Compass,94912,2020,11365
Ford,Escape,34025,2022,23998
Mercedes-Benz,C-Class,96655,2016,11999
Nissan,Altima,8393,2022,17888
Mazda,Mazda3,106202,2012,6495
Audi,A6,21817,2023,35500
Mercedes-Benz,GLA,64200,2019,15478
Honda,Passport,42188,2021,19400
Nissan,Altima,41251,2023,15246
Ford,Fusion,99553,2016,7999
Mercedes-Benz,C-Class,7369,2024,50295
Acura,TLX,59544,2021,19888
Dodge,Charger,9341,2022,29995
Acura,MDX,31604,2020,25899
BMW,3 Series,28494,2022,29450
Chevrolet,Traverse,92200,2017,9995
BMW,X3,47852,2021,25500
BMW,4 Series,69280,2021,30988
BMW,4 Series,52382,2022,25368
Nissan,Altima,110926,2015,6499
Toyota,RAV4,106910,2015,12495
Jeep,Wrangler,4407,2024,35495
Nissan,Rogue Sport,58528,2021,12190
Mercedes-Benz,E-Class,59064,2020,20242
Lexus,GX,55808,2015,22050
Nissan,Altima,22969,2024,18995
Mercedes-Benz,A-Class,51756,2020,18290
Mercedes-Benz,GLB,8508,2024,42900
Toyota,RAV4,61309,2021,23990
Nissan,Rogue,61687,2020,12593
Rolls-Royce,Ghost,6300,2021,265000
Jeep,Gladiator,43269,2022,23988
Kia,Forte,21,2024,19100
Subaru,Impreza WRX,100234,2014,11995
Chevrolet,Silverado 2500HD,123105,2021,24995
Nissan,Altima,59110,2021,13626
